#run_cell	gridcell	lat	lon	infilt	Ds	Dsmax	Ws	c	expt1	expt2	expt3	Ksat1	Ksat2	Ksat3	phi_s1	phi_s2	phi_s3	init_moist1	init_moist2	init_moist3	elev	depth1	depth2	depth3	avg_T	dp	bubble1	bubble2	bubble3	quartz1	quartz2	quartz3	bulk_density1	bulk_density2	bulk_density3	soil_density1	soil_density2	soil_density3	off_gmt	Wrc_FRACT1	Wrc_FRACT2	Wrc_FRACT3	Wpwp_FRACT1	Wpwp_FRACT2	Wpwp_FRACT3	rough	snow_rough	annual_prec	resid_moist1	resid_moist2	resid_moist3	fs_active
1	1	34.6875	-96.8125	0	1.00E-05	0.477041522	0.694305082	4.889099814	2.019450501	4.557480391	7.095510281	3133.700005	4174.890525	5216.081045	-99	-99	-99	21.427	64.282	214.275	356.07	0.1	0.1385	0.4603	12	4	11.91422594	11.91422594	11.91422594	0.41	0.41	0.41	2626.057293	1755.306695	884.556096	5599.62611	3742.896708	1886.167306	-6	0.064319365	0.524348045	0.984376724	0.038518784	0.314015059	0.589511334	0.051917754	0.09130472	-99	0.01252968	0.01252968	0.01252968	2
1	2	34.5625	-96.8125	0.07750059	0.947992202	50	0.694305082	4.889099814	0.575575081	0.692825775	0.81007647	4037.762483	5379.333155	6720.903827	-99	-99	-99	21.427	64.282	214.275	368.88	0.1	0.1385	0.4603	12	4	11.91422594	11.91422594	11.91422594	0.41	0.41	0.41	2810.980063	1878.912595	946.8451267	5993.942857	4006.46553	2018.988202	-6	0.025493922	0.207833028	0.390172134	2.55E-04	0.00207833	0.003901721	0.051917754	0.09130472	-99	0.01252968	0.01252968	0.01252968	2
1	3	34.5625	-96.6875	5	0.291884876	4.245950519	0.694305082	4.889099814	9.5	5	0.5	6160.398312	8207.2274	10254.05649	-99	-99	-99	21.427	64.282	214.275	336.45	0.1	0.1385	0.4603	12	4	11.91422594	11.91422594	11.91422594	0.41	0.41	0.41	2013.611343	1345.93616	678.2609781	4293.687986	2869.982801	1446.277616	-6	0.04677697	0.381337918	0.715898867	0.005522551	0.045021258	0.084519965	0.051917754	0.09130472	-99	0.01252968	0.01252968	0.01252968	2
1	4	34.4375	-96.6875	2.140883779	0.047831882	37.90054166	0.694305082	4.889099814	2.022804672	1.958551614	1.894298557	6859.448221	9138.540811	11417.6334	-99	-99	-99	21.427	64.282	214.275	313.82	0.1	0.1385	0.4603	12	4	11.91422594	11.91422594	11.91422594	0.41	0.41	0.41	1759.772529	1176.265464	592.7583996	3752.41935	2508.188539	1263.957729	-6	0.072854787	0.59393101	1	0.061598686	0.502168372	0.942738057	0.051917754	0.09130472	-99	0.01252968	0.01252968	0.01252968	2
1	5	34.4375	-96.5625	2.744783281	0.00525312	2.196007101	0.694305082	4.889099814	7.710218203	4.73944742	1.768676636	2181.23891	2905.968549	3630.698189	-99	-99	-99	21.427	64.282	214.275	277.83	0.1	0.1385	0.4603	12	4	11.91422594	11.91422594	11.91422594	0.41	0.41	0.41	1891.764946	1264.491709	637.2184718	4033.87101	2696.316188	1358.761365	-6	0.031291475	0.255096172	0.478900868	0.015429209	0.125782892	0.236136575	0.051917754	0.09130472	-99	0.01252968	0.01252968	0.01252968	2
1	6	34.3125	-96.5625	4.871687701	0.739730296	21.22615886	0.694305082	4.889099814	2.434795123	4.542742173	6.650689222	62.83697746	83.71493807	104.5928987	-99	-99	-99	15.442	46.327	154.425	241.9	0.1	0.1385	0.4603	12	4	11.91422594	11.91422594	11.91422594	0.693	0.693	0.693	1496.067497	1000	503.932503	3190.112661	2132.332042	1074.551423	-6	0.001226654	0.01	0.018773346	1.23E-05	1.00E-04	1.88E-04	0.051917754	0.09130472	-99	0.01252968	0.01252968	0.01252968	2
1	7	34.3125	-96.4375	1.354584713	0.285989519	22.23137951	0.694305082	4.889099814	5.209708652	3.556411303	1.903113955	78.54398308	104.64069	130.7373969	-99	-99	-99	15.442	46.327	154.425	219.15	0.1	0.1385	0.4603	12	4	11.91422594	11.91422594	11.91422594	0.693	0.693	0.693	2956.37714	1976.098769	995.820399	6303.977703	4213.698724	2123.419745	-6	0.001226654	0.01	0.018773346	4.61E-04	0.003760214	0.00705918	0.051917754	0.09130472	-99	0.01252968	0.01252968	0.01252968	2
1	8	34.1875	-96.5625	1.742829834	0.703600069	47.51935537	0.694305082	4.889099814	0.009485425	0.013939766	0.018394107	6347.680455	8456.735152	10565.78985	-99	-99	-99	6.127	18.382	61.275	217.55	0.1	0.1385	0.4603	12	4	11.91422594	11.91422594	11.91422594	0.948	0.948	0.948	2051.025756	1370.944667	690.8635773	4373.467938	2923.30924	1473.150542	-6	0.025078229	0.204444188	0.383810147	0.024289021	0.198010364	0.371731706	0.051917754	0.09130472	-99	0.01252968	0.01252968	0.01252968	2
1	9	34.1875	-96.4375	3.888557766	0.601378321	33.22955641	0.694305082	4.889099814	7.151276229	3.969849792	0.788423355	4952.410627	6597.8786	8243.346574	-99	-99	-99	27.255	81.765	272.55	208.7	0.1	0.1385	0.4603	12	4	11.91422594	11.91422594	11.91422594	0.247	0.247	0.247	2234.843115	1493.811689	752.7802636	4765.427583	3185.30253	1605.177477	-6	0.071418343	0.582220747	1	0.064333164	0.524460543	0.984587922	0.051917754	0.09130472	-99	0.01252968	0.01252968	0.01252968	2
1	10	34.1875	-96.3125	4.266077569	0.351756639	18.6802582	0.694305082	4.889099814	4.764205309	4.718076115	4.671946922	59.2451836	78.92974927	98.61431494	-99	-99	-99	27.255	81.765	272.55	204.4	0.1	0.1385	0.4603	12	4	11.91422594	11.91422594	11.91422594	0.247	0.247	0.247	1820.100508	1216.589834	613.0791602	3881.058633	2594.173485	1307.288337	-6	0.045383196	0.369975514	0.694567831	0.014120683	0.11511545	0.216110218	0.051917754	0.09130472	-99	0.01252968	0.01252968	0.01252968	2
